[2026-05-04 07:06:19] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 05:28:10] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 05:28:10] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 05:57:46] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 05:57:46] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 05:59:41] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 05:59:41] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 05:59:43] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 05:59:43] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 06:01:41] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 06:01:41] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 06:04:35] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 06:04:35] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 08:18:30] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 08:18:30] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 08:18:39] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 08:18:39] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-07 08:24:42] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-07 08:24:42] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
